,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,negMarketValue,dealAmount,turnoverRate,accumAdjFactor,turnoverValue,marketValue,isOpen,vwap
637,600519.XSHG,600519,贵州茅台,XSHG,2012-08-17,159.778,239.28,159.204,159.204,152.58,153.328,7147706,238386891600,13321.0,0.0057,0.6677445769,1365745660,238386891600,1,154.383
638,600519.XSHG,600519,贵州茅台,XSHG,2012-08-20,153.328,229.62,153.321,155.371,150.897,155.351,2910302,241532577000,6961.0,0.0023,0.6677445769,554470080,241532577000,1,153.934
639,600519.XSHG,600519,贵州茅台,XSHG,2012-08-21,155.351,232.65,155.364,160.192,155.364,157.447,3185112,244792462200,9153.0,0.0025,0.6677445769,624105410,244792462200,1,158.318
640,600519.XSHG,600519,贵州茅台,XSHG,2012-08-22,157.447,235.79,158.202,158.202,153.581,155.037,2471195,241044632400,6850.0,0.002,0.6677445769,473902048,241044632400,1,154.945
641,600519.XSHG,600519,贵州茅台,XSHG,2012-08-23,155.037,232.18,154.85,154.85,150.957,152.426,3382676,236985348600,8536.0,0.0027,0.6677445769,639443970,236985348600,1,152.735
642,600519.XSHG,600519,贵州茅台,XSHG,2012-08-24,152.426,228.27,151.718,155.524,151.611,154.837,2622820,240733178400,6797.0,0.0021,0.6677445769,500922592,240733178400,1,154.311
643,600519.XSHG,600519,贵州茅台,XSHG,2012-08-27,154.837,231.88,153.915,154.002,151.678,152.58,2528827,237224130000,6337.0,0.002,0.6677445769,478778016,237224130000,1,152.972
644,600519.XSHG,600519,贵州茅台,XSHG,2012-08-28,152.58,228.5,152.914,153.969,150.249,150.596,2455666,234140735400,5872.0,0.002,0.6677445769,461461664,234140735400,1,151.832
645,600519.XSHG,600519,贵州茅台,XSHG,2012-08-29,150.596,225.53,150.243,150.243,146.082,146.343,3681506,227527528800,8542.0,0.0029,0.6677445769,674492610,227527528800,1,148.029
646,600519.XSHG,600519,贵州茅台,XSHG,2012-08-30,146.343,219.16,144.894,146.363,142.563,145.488,5850194,226198658400,11019.0,0.0047,0.6677445769,1046698750,226198658400,1,144.56
647,600519.XSHG,600519,贵州茅台,XSHG,2012-08-31,145.488,217.88,145.568,148.239,145.034,146.744,2720651,228150436800,7566.0,0.0022,0.6677445769,496296864,228150436800,1,147.389
648,600519.XSHG,600519,贵州茅台,XSHG,2012-09-03,146.744,219.76,0.0,0.0,0.0,146.744,0,228150436800,0.0,0.0,0.6677445769,0,228150436800,0,146.744
649,600519.XSHG,600519,贵州茅台,XSHG,2012-09-04,146.744,219.76,158.255,158.923,154.249,155.872,13492556,242342357400,16440.0,0.0107,0.6677445769,2606767870,242342357400,1,156.1
650,600519.XSHG,600519,贵州茅台,XSHG,2012-09-05,155.872,233.43,155.251,156.9,154.917,156.292,3326349,242996410800,6367.0,0.0026,0.6677445769,643292480,242996410800,1,156.256
651,600519.XSHG,600519,贵州茅台,XSHG,2012-09-06,156.292,234.06,156.419,156.586,152.98,154.75,2516097,240598215000,5728.0,0.002,0.6677445769,481683552,240598215000,1,154.679
